TARGET,epeRes,epeCom,epeInd,expQ,impQ,expBasic,expSemi,expManuf,expAgroDolar,anfaveaProd,anfaveaLic,cagedTransf,cagedConstr,cagedCom,cagedServ,ipa,cambio,poup,m1,m2,ibov,embi,RecRFBIPCA
-1.334900314,-1.058653201,-1.282013683,-1.607095424,-1.658441425,-0.7789048162,-2.265188336,-1.230950506,-1.180984692,-1.600629463,-1.420090832,-1.639046112,-1.313767646,-0.5738288709,-1.392417545,-1.347913906,-1.733458044,-1.741800461,-1.221595193,-1.381900158,-1.310920212,-1.741248805,0.5249852595,-0.8333147498
-1.688221649,-0.5680619532,-1.010692977,-1.857661296,-2.055503849,-1.065278819,-2.134129521,-1.324180473,-2.06607586,-1.766535033,-1.227184117,-1.206053649,-1.385392448,-0.5527402381,-1.412917838,-1.35525226,-1.728928085,-1.725973091,-1.191900726,-1.507088129,-1.302319382,-1.75035635,0.6012940101,-1.342910211
-1.688221649,-0.9444451244,-1.228939638,-1.742697892,-2.139563141,-1.457248739,-2.472616569,-2.230609691,-1.710643625,-1.600204816,-1.316980356,-1.323485985,-1.429609467,-0.5467664657,-1.421504765,-1.352133783,-1.727358692,-1.711536831,-1.216759513,-1.501506991,-1.295003343,-1.669898061,0.4416375379,-1.717790724
-1.688221649,-0.8662081301,-1.245315802,-1.815848392,-1.756052547,-0.7148713791,-1.899821767,-1.863441284,-1.430602121,-1.326809862,-0.6570016652,-0.4465183459,-1.455445558,-0.528230517,-1.42915068,-1.3489119,-1.725789297,-1.696545285,-1.222877621,-1.526664032,-1.290832778,-1.518976318,0.2609345792,-1.417612529
-1.420158197,-0.8515655774,-1.12012562,-1.320893388,-1.516392067,-0.9672593631,-1.259816508,-1.677075332,-1.555494237,-0.5739646084,-0.7213381042,-0.6112340205,-1.439406531,-0.4999868984,-1.421031398,-1.339084416,-1.727185501,-1.681857928,-1.22608516,-1.516723024,-1.300441417,-1.485584498,0.346833921,-1.591852966
-1.420158197,-0.9009839675,-1.287555271,-1.340778534,-1.470360463,-0.9289334495,-1.121792528,-2.046685482,-1.510916233,-0.5941455232,-0.3790029284,-0.424890009,-1.419848925,-0.4827659785,-1.411229356,-1.328693148,-1.725093288,-1.668735938,-1.221309832,-1.510364559,-1.294315958,-1.632519488,0.6883805806,-1.917067833
-1.420158197,-1.122671564,-1.506660426,-1.462050437,-1.30403519,-0.9109404926,-1.053993481,-1.162306396,-1.431310641,-0.6765609041,-0.587631757,-0.6176239434,-1.421482977,-0.4755148066,-1.410531085,-1.325621641,-1.72195591,-1.655264624,-1.203180116,-1.467653816,-1.278580422,-1.732207088,0.9174053791,-1.862229079
-1.254816004,-1.064822745,-1.538522924,-1.350442613,-1.240378044,-0.5517186026,-1.080777164,-1.108690289,-1.235293197,-0.7532074593,-0.9093484461,-1.212909036,-1.475637851,-0.4636230356,-1.412547706,-1.321538827,-1.725798162,-1.641658885,-1.185637194,-1.469764901,-1.277141101,-1.638405409,0.7764090837,-1.542599654
-1.254816004,-0.9896069092,-1.352934785,-1.129525526,-1.777110126,-1.219958522,-1.382995892,-2.132224143,-1.878304333,-0.8880410867,-0.7807320818,-0.24601095,-1.481376933,-0.4521303408,-1.406392825,-1.31457409,-1.729815261,-1.613642066,-1.171586401,-1.460987776,-1.274940383,-1.928692406,2.158596395,-1.489595473
-1.254816004,-0.8492278593,-1.233480075,-1.255062322,-1.392108762,-0.3271278987,-1.209888683,-1.256794388,-1.410825021,-0.8100881018,-0.7753981792,-0.9094633303,-1.484837105,-0.4798050202,-1.407186057,-1.312616105,-1.735231784,-1.595756563,-1.149756368,-1.471061922,-1.285077942,-2.291342148,2.045939588,-1.654781594
